codigo_upz,codigo_localidad,ase_num,ase_nombre
1,1,1,ASE 1 Promoambiental
2,11,5,ASE 5 Área Limpia
3,11,5,ASE 5 Área Limpia
9,1,1,ASE 1 Promoambiental
10,1,1,ASE 1 Promoambiental
11,1,1,ASE 1 Promoambiental
12,1,1,ASE 1 Promoambiental
13,1,1,ASE 1 Promoambiental
14,1,1,ASE 1 Promoambiental
15,1,1,ASE 1 Promoambiental
16,1,1,ASE 1 Promoambiental
17,11,5,ASE 5 Área Limpia
18,11,5,ASE 5 Área Limpia
19,11,5,ASE 5 Área Limpia
20,11,5,ASE 5 Área Limpia
21,12,5,ASE 5 Área Limpia
22,12,5,ASE 5 Área Limpia
23,11,5,ASE 5 Área Limpia
24,11,5,ASE 5 Área Limpia
25,11,5,ASE 5 Área Limpia
26,10,4,ASE 4 Bogotá Limpia
27,11,5,ASE 5 Área Limpia
28,11,5,ASE 5 Área Limpia
29,10,4,ASE 4 Bogotá Limpia
30,10,4,ASE 4 Bogotá Limpia
31,10,4,ASE 4 Bogotá Limpia
32,4,1,ASE 1 Promoambiental
33,4,1,ASE 1 Promoambiental
34,4,1,ASE 1 Promoambiental
35,15,2,ASE 2 LIME
36,18,2,ASE 2 LIME
37,14,2,ASE 2 LIME
38,15,2,ASE 2 LIME
39,18,2,ASE 2 LIME
40,16,2,ASE 2 LIME
41,16,2,ASE 2 LIME
42,6,2,ASE 2 LIME
43,16,2,ASE 2 LIME
44,8,3,ASE 3 Ciudad Limpia
45,8,3,ASE 3 Ciudad Limpia
46,8,3,ASE 3 Ciudad Limpia
47,8,3,ASE 3 Ciudad Limpia
48,8,3,ASE 3 Ciudad Limpia
49,7,3,ASE 3 Ciudad Limpia
50,4,1,ASE 1 Promoambiental
51,4,1,ASE 1 Promoambiental
52,5,1,ASE 1 Promoambiental
53,18,2,ASE 2 LIME
54,18,2,ASE 2 LIME
55,18,2,ASE 2 LIME
56,5,1,ASE 1 Promoambiental
57,5,1,ASE 1 Promoambiental
58,5,1,ASE 1 Promoambiental
59,5,1,ASE 1 Promoambiental
60,5,1,ASE 1 Promoambiental
61,5,1,ASE 1 Promoambiental
62,6,2,ASE 2 LIME
63,19,2,ASE 2 LIME
64,19,2,ASE 2 LIME
65,19,2,ASE 2 LIME
66,19,2,ASE 2 LIME
67,19,2,ASE 2 LIME
68,19,2,ASE 2 LIME
69,19,2,ASE 2 LIME
70,19,2,ASE 2 LIME
71,11,5,ASE 5 Área Limpia
72,10,4,ASE 4 Bogotá Limpia
73,10,4,ASE 4 Bogotá Limpia
74,10,4,ASE 4 Bogotá Limpia
75,9,4,ASE 4 Bogotá Limpia
76,9,4,ASE 4 Bogotá Limpia
77,9,4,ASE 4 Bogotá Limpia
78,8,3,ASE 3 Ciudad Limpia
79,8,3,ASE 3 Ciudad Limpia
80,8,3,ASE 3 Ciudad Limpia
81,8,3,ASE 3 Ciudad Limpia
82,8,3,ASE 3 Ciudad Limpia
83,8,3,ASE 3 Ciudad Limpia
84,7,3,ASE 3 Ciudad Limpia
85,7,3,ASE 3 Ciudad Limpia
86,7,3,ASE 3 Ciudad Limpia
87,7,3,ASE 3 Ciudad Limpia
88,2,1,ASE 1 Promoambiental
89,2,1,ASE 1 Promoambiental
90,2,1,ASE 1 Promoambiental
91,3,1,ASE 1 Promoambiental
92,3,1,ASE 1 Promoambiental
93,3,1,ASE 1 Promoambiental
94,17,1,ASE 1 Promoambiental
95,3,1,ASE 1 Promoambiental
96,3,1,ASE 1 Promoambiental
97,2,1,ASE 1 Promoambiental
98,12,5,ASE 5 Área Limpia
99,2,1,ASE 1 Promoambiental
100,13,5,ASE 5 Área Limpia
101,13,5,ASE 5 Área Limpia
102,14,2,ASE 2 LIME
103,12,5,ASE 5 Área Limpia
104,13,5,ASE 5 Área Limpia
105,10,4,ASE 4 Bogotá Limpia
106,13,5,ASE 5 Área Limpia
107,13,5,ASE 5 Área Limpia
108,16,2,ASE 2 LIME
109,13,5,ASE 5 Área Limpia
110,9,4,ASE 4 Bogotá Limpia
111,16,2,ASE 2 LIME
112,9,4,ASE 4 Bogotá Limpia
113,8,3,ASE 3 Ciudad Limpia
114,9,4,ASE 4 Bogotá Limpia
115,9,4,ASE 4 Bogotá Limpia
116,10,4,ASE 4 Bogotá Limpia
117,9,4,ASE 4 Bogotá Limpia
