px,py,codigo_upz,codigo_localidad
-50,-5,87,7
-49,-8,87,7
-49,-7,87,7
-49,-6,87,7
-49,-5,87,7
-49,-4,87,7
-49,2,87,7
-48,-9,87,7
-48,-8,87,7
-48,-7,87,7
-48,-6,87,7
-48,-5,87,7
-48,-4,87,7
-48,2,87,7
-47,-10,85,7
-47,-9,87,7
-47,-8,87,7
-47,-7,87,7
-47,-6,87,7
-47,-5,87,7
-47,-4,87,7
-47,-2,87,7
-47,-1,87,7
-47,1,87,7
-47,2,87,7
-46,-11,85,7
-46,-10,85,7
-46,-9,85,7
-46,-8,87,7
-46,-7,87,7
-46,-6,87,7
-46,-5,87,7
-46,-4,87,7
-46,-3,87,7
-46,-2,87,7
-46,-1,87,7
-46,0,87,7
-45,-12,85,7
-45,-11,85,7
-45,-10,85,7
-45,-9,87,7
-45,-8,87,7
-45,-7,87,7
-45,-6,87,7
-45,-5,87,7
-45,-4,87,7
-45,-3,87,7
-45,-2,87,7
-45,-1,87,7
-45,0,87,7
-44,-13,85,7
-44,-12,85,7
-44,-11,85,7
-44,-10,85,7
-44,-9,87,7
-44,-8,87,7
-44,-7,87,7
-44,-6,87,7
-44,-5,87,7
-44,-4,87,7
-44,-3,87,7
-44,-2,87,7
-44,-1,87,7
-44,0,87,7
-43,-15,85,7
-43,-14,85,7
-43,-13,85,7
-43,-12,85,7
-43,-11,85,7
-43,-10,87,7
-43,-9,87,7
-43,-8,87,7
-43,-7,84,7
-43,-6,84,7
-43,-5,87,7
-43,-4,87,7
-43,-3,87,7
-43,-2,87,7
-43,-1,87,7
-43,0,87,7
-43,1,87,7
-43,3,87,7
-42,-15,85,7
-42,-14,85,7
-42,-13,85,7
-42,-12,85,7
-42,-11,85,7
-42,-10,85,7
-42,-9,84,7
-42,-8,87,7
-42,-7,84,7
-42,-6,84,7
-42,-5,87,7
-42,-4,87,7
-42,-3,87,7
-42,-2,87,7
-42,-1,87,7
-42,0,87,7
-42,1,87,7
-42,2,87,7
-41,-16,85,7
-41,-15,85,7
-41,-14,85,7
-41,-13,85,7
-41,-12,85,7
-41,-11,85,7
-41,-10,85,7
-41,-9,85,7
-41,-8,84,7
-41,-7,84,7
-41,-6,84,7
-41,-5,87,7
-41,-4,87,7
-41,-3,87,7
-41,-2,87,7
-41,-1,87,7
-41,0,87,7
-41,1,86,7
-41,2,86,7
-41,3,86,7
-41,4,86,7
-40,-16,85,7
-40,-15,85,7
-40,-14,85,7
-40,-13,85,7
-40,-12,85,7
-40,-11,85,7
-40,-10,85,7
-40,-9,85,7
-40,-8,84,7
-40,-7,84,7
-40,-6,84,7
-40,-5,84,7
-40,-4,87,7
-40,-3,87,7
-40,-2,87,7
-40,-1,86,7
-40,0,86,7
-40,1,86,7
-40,2,86,7
-40,3,86,7
-40,4,86,7
-39,-16,85,7
-39,-15,85,7
-39,-14,85,7
-39,-13,85,7
-39,-12,85,7
-39,-11,85,7
-39,-10,85,7
-39,-9,85,7
-39,-8,84,7
-39,-7,84,7
-39,-6,84,7
-39,-5,84,7
-39,-4,87,7
-39,-3,86,7
-39,-2,86,7
-39,-1,86,7
-39,0,86,7
-39,1,86,7
-39,2,86,7
-39,3,86,7
-39,4,86,7
-39,5,86,7
-38,-16,85,7
-38,-15,85,7
-38,-14,85,7
-38,-13,85,7
-38,-12,85,7
-38,-11,85,7
-38,-10,85,7
-38,-9,85,7
-38,-8,84,7
-38,-7,84,7
-38,-6,84,7
-38,-5,84,7
-38,-4,84,7
-38,-3,86,7
-38,-2,86,7
-38,-1,86,7
-38,0,86,7
-38,1,86,7
-38,2,86,7
-38,3,86,7
-38,4,86,7
-38,5,86,7
-38,6,86,7
-37,-16,85,7
-37,-15,85,7
-37,-14,85,7
-37,-13,85,7
-37,-12,85,7
-37,-11,85,7
-37,-10,84,7
-37,-9,85,7
-37,-8,84,7
-37,-7,84,7
-37,-6,84,7
-37,-5,84,7
-37,-4,84,7
-37,-3,86,7
-37,-2,86,7
-37,-1,86,7
-37,0,86,7
-37,1,86,7
-37,2,86,7
-37,3,86,7
-37,4,86,7
-37,5,86,7
-37,6,86,7
-37,7,86,7
-36,-17,85,7
-36,-16,85,7
-36,-15,85,7
-36,-14,85,7
-36,-13,85,7
-36,-12,85,7
-36,-11,85,7
-36,-10,84,7
-36,-9,84,7
-36,-8,84,7
-36,-7,84,7
-36,-6,84,7
-36,-5,84,7
-36,-4,84,7
-36,-3,86,7
-36,-2,86,7
-36,-1,86,7
-36,0,86,7
-36,1,86,7
-36,2,86,7
-36,3,86,7
-36,4,86,7
-36,5,86,7
-36,6,86,7
-35,-17,85,7
-35,-16,85,7
-35,-15,85,7
-35,-14,85,7
-35,-13,85,7
-35,-12,85,7
-35,-11,85,7
-35,-10,84,7
-35,-9,84,7
-35,-8,84,7
-35,-7,84,7
-35,-6,84,7
-35,-5,84,7
-35,-4,84,7
-35,-3,84,7
-35,-2,86,7
-35,-1,86,7
-35,0,86,7
-35,1,86,7
-35,2,86,7
-35,3,86,7
-35,4,86,7
-35,5,86,7
-34,-17,85,7
-34,-16,85,7
-34,-15,85,7
-34,-14,85,7
-34,-13,85,7
-34,-12,85,7
-34,-11,85,7
-34,-10,85,7
-34,-9,81,8
-34,-8,84,7
-34,-7,84,7
-34,-6,84,7
-34,-5,84,7
-34,-4,84,7
-34,-3,84,7
-34,-2,86,7
-34,-1,86,7
-34,0,86,7
-34,1,86,7
-34,2,86,7
-34,3,86,7
-34,5,86,7
-33,-19,69,19
-33,-18,69,19
-33,-17,85,7
-33,-16,85,7
-33,-15,85,7
-33,-14,85,7
-33,-13,85,7
-33,-12,85,7
-33,-11,85,7
-33,-10,85,7
-33,-9,85,7
-33,-8,84,7
-33,-7,84,7
-33,-6,84,7
-33,-5,84,7
-33,-4,84,7
-33,-3,84,7
-33,-2,84,7
-33,-1,86,7
-33,0,86,7
-33,1,83,8
-33,2,83,8
-33,3,83,8
-33,4,83,8
-32,-23,69,19
-32,-22,69,19
-32,-21,69,19
-32,-20,69,19
-32,-19,69,19
-32,-18,69,19
-32,-17,85,7
-32,-16,85,7
-32,-15,85,7
-32,-14,85,7
-32,-13,85,7
-32,-12,85,7
-32,-11,85,7
-32,-10,81,8
-32,-9,81,8
-32,-8,84,7
-32,-7,84,7
-32,-6,84,7
-32,-5,84,7
-32,-4,84,7
-32,-3,84,7
-32,-2,84,7
-32,-1,83,8
-32,0,83,8
-32,1,83,8
-32,2,83,8
-32,3,83,8
-32,4,82,8
-32,5,82,8
-31,-29,70,19
-31,-25,69,19
-31,-24,69,19
-31,-23,69,19
-31,-22,69,19
-31,-21,69,19
-31,-20,69,19
-31,-19,69,19
-31,-18,69,19
-31,-17,85,7
-31,-16,49,7
-31,-15,85,7
-31,-14,48,8
-31,-13,85,7
-31,-12,85,7
-31,-11,81,8
-31,-10,81,8
-31,-9,81,8
-31,-8,81,8
-31,-7,81,8
-31,-6,84,7
-31,-5,84,7
-31,-4,84,7
-31,-3,83,8
-31,-2,83,8
-31,-1,83,8
-31,0,83,8
-31,1,83,8
-31,2,82,8
-31,3,82,8
-31,4,82,8
-31,5,82,8
-31,6,82,8
-30,-35,70,19
-30,-34,70,19
-30,-33,70,19
-30,-32,70,19
-30,-31,70,19
-30,-30,70,19
-30,-29,70,19
-30,-28,69,19
-30,-26,69,19
-30,-25,69,19
-30,-24,69,19
-30,-23,69,19
-30,-22,69,19
-30,-21,69,19
-30,-20,69,19
-30,-19,69,19
-30,-18,69,19
-30,-17,49,7
-30,-16,49,7
-30,-15,49,7
-30,-14,48,8
-30,-13,48,8
-30,-12,48,8
-30,-11,48,8
-30,-10,81,8
-30,-9,81,8
-30,-8,81,8
-30,-7,81,8
-30,-6,81,8
-30,-5,81,8
-30,-4,83,8
-30,-3,83,8
-30,-2,83,8
-30,-1,83,8
-30,0,82,8
-30,1,82,8
-30,2,82,8
-30,3,82,8
-30,4,82,8
-30,5,82,8
-30,6,79,8
-30,27,76,9
-29,-36,70,19
-29,-35,70,19
-29,-34,70,19
-29,-33,70,19
-29,-32,70,19
-29,-31,70,19
-29,-30,70,19
-29,-29,70,19
-29,-28,69,19
-29,-27,69,19
-29,-26,69,19
-29,-25,69,19
-29,-24,69,19
-29,-23,69,19
-29,-22,69,19
-29,-21,69,19
-29,-20,69,19
-29,-19,69,19
-29,-18,69,19
-29,-17,49,7
-29,-16,49,7
-29,-15,49,7
-29,-14,48,8
-29,-13,48,8
-29,-12,48,8
-29,-11,48,8
-29,-10,47,8
-29,-9,81,8
-29,-8,81,8
-29,-7,81,8
-29,-6,81,8
-29,-5,81,8
