anio,ase,capacidad_dia_ton
2018,ASE 1 Promoambiental,733.694697108067
2018,ASE 2 LIME,1075.8635464231354
2018,ASE 3 Ciudad Limpia,616.0129680365297
2018,ASE 4 Bogotá Limpia,425.3736651445966
2018,ASE 5 Área Limpia,487.92081278538814
2019,ASE 1 Promoambiental,733.694697108067
2019,ASE 2 LIME,1075.8635464231354
2019,ASE 3 Ciudad Limpia,616.0129680365297
2019,ASE 4 Bogotá Limpia,425.3736651445966
2019,ASE 5 Área Limpia,487.92081278538814
2020,ASE 1 Promoambiental,733.694697108067
2020,ASE 2 LIME,1075.8635464231354
2020,ASE 3 Ciudad Limpia,616.0129680365297
2020,ASE 4 Bogotá Limpia,425.3736651445966
2020,ASE 5 Área Limpia,487.92081278538814
2021,ASE 1 Promoambiental,1059.7204383561643
2021,ASE 2 LIME,1592.621260273973
2021,ASE 3 Ciudad Limpia,931.5093333333332
2021,ASE 4 Bogotá Limpia,637.0993242009132
2021,ASE 5 Área Limpia,732.5049132420091
2022,ASE 1 Promoambiental,1069.5357310087172
2022,ASE 2 LIME,1566.1616338729764
2022,ASE 3 Ciudad Limpia,894.3710585305107
2022,ASE 4 Bogotá Limpia,630.6980024906601
2022,ASE 5 Área Limpia,709.2781867995019
2023,ASE 1 Promoambiental,1180.282520547945
2023,ASE 2 LIME,1700.1068858447488
2023,ASE 3 Ciudad Limpia,966.7138630136986
2023,ASE 4 Bogotá Limpia,681.6291506849316
2023,ASE 5 Área Limpia,776.5961278538813
2024,ASE 1 Promoambiental,1080.3766849315068
2024,ASE 2 LIME,1565.5084657534246
2024,ASE 3 Ciudad Limpia,892.2160547945205
2024,ASE 4 Bogotá Limpia,614.8188493150685
2024,ASE 5 Área Limpia,712.2825753424657
